	0	1	2	3
0	way	used by	billie	0
1	way	used by	olivia	4
2	way	used by	sabrina	0
3	way	used by	taylor	0
4	mistake	used by	billie	0
5	mistake	used by	olivia	3
6	mistake	used by	sabrina	0
7	mistake	used by	taylor	0
8	look	used by	billie	0
9	look	used by	olivia	6
10	look	used by	sabrina	0
11	look	used by	taylor	0
12	night	used by	billie	0
13	night	used by	olivia	3
14	night	used by	sabrina	0
15	night	used by	taylor	0
16	part	used by	billie	0
17	part	used by	olivia	4
18	part	used by	sabrina	0
19	part	used by	taylor	0
20	tooth	used by	billie	0
21	tooth	used by	olivia	0
22	tooth	used by	sabrina	0
23	tooth	used by	taylor	0
24	fame	used by	billie	0
25	fame	used by	olivia	3
26	fame	used by	sabrina	0
27	fame	used by	taylor	0
28	fucker	used by	billie	0
29	fucker	used by	olivia	3
30	fucker	used by	sabrina	0
31	fucker	used by	taylor	0
32	goddamn	used by	billie	0
33	goddamn	used by	olivia	3
34	goddamn	used by	sabrina	0
35	goddamn	used by	taylor	0
36	vampire	used by	billie	0
37	vampire	used by	olivia	3
38	vampire	used by	sabrina	0
39	vampire	used by	taylor	0
40	girl	used by	billie	0
41	girl	used by	olivia	2
42	girl	used by	sabrina	0
43	girl	used by	taylor	0
44	xml	used by	billie	0
45	xml	used by	olivia	0
46	xml	used by	sabrina	0
47	xml	used by	taylor	0
48	"encoding=""utf-8""?>hate"	used by	billie	0
49	"encoding=""utf-8""?>hate"	used by	olivia	0
50	"encoding=""utf-8""?>hate"	used by	sabrina	0
51	"encoding=""utf-8""?>hate"	used by	taylor	0
52	satisfaction	used by	billie	0
53	satisfaction	used by	olivia	1
54	satisfaction	used by	sabrina	0
55	satisfaction	used by	taylor	0
56	castle	used by	billie	0
57	castle	used by	olivia	1
58	castle	used by	sabrina	0
59	castle	used by	taylor	0
60	people	used by	billie	0
61	people	used by	olivia	1
62	people	used by	sabrina	0
63	people	used by	taylor	0
64	guy	used by	billie	0
65	guy	used by	olivia	1
66	guy	used by	sabrina	0
67	guy	used by	taylor	0
68	party	used by	billie	0
69	party	used by	olivia	0
70	party	used by	sabrina	0
71	party	used by	taylor	0
72	diamond	used by	billie	0
73	diamond	used by	olivia	1
74	diamond	used by	sabrina	0
75	diamond	used by	taylor	0
76	eye	used by	billie	0
77	eye	used by	olivia	1
78	eye	used by	sabrina	0
79	eye	used by	taylor	0
80	month	used by	billie	0
81	month	used by	olivia	1
82	month	used by	sabrina	0
83	month	used by	taylor	0
84	torture	used by	billie	0
85	torture	used by	olivia	1
86	torture	used by	sabrina	0
87	torture	used by	taylor	0
88	paradise	used by	billie	0
89	paradise	used by	olivia	1
90	paradise	used by	sabrina	0
91	paradise	used by	taylor	0
92	stupidity	used by	billie	0
93	stupidity	used by	olivia	1
94	stupidity	used by	sabrina	0
95	stupidity	used by	taylor	0
96	news	used by	billie	0
97	news	used by	olivia	1
98	news	used by	sabrina	0
99	news	used by	taylor	0
100	mesmerizing	used by	billie	0
101	mesmerizing	used by	olivia	1
102	mesmerizing	used by	sabrina	0
103	mesmerizing	used by	taylor	0
104	thrill	used by	billie	0
105	thrill	used by	olivia	1
106	thrill	used by	sabrina	0
107	thrill	used by	taylor	0
108	age	used by	billie	0
109	age	used by	olivia	1
110	age	used by	sabrina	0
111	age	used by	taylor	0
112	love	used by	billie	0
113	love	used by	olivia	3
114	love	used by	sabrina	0
115	love	used by	taylor	0
